B|Hello.|fp
A|Hello, this is Jim in Dallas. Uh, how you doing?|fp fp fp
B|Fine. I'm Callie in Garland.|fp fp
A|Oh, you're right here, okay|qy^d %
B|Yes.|ny
A|yeah, I'm actually working tonight, I just, uh, called and came in.|b sd sd
B|Oh are you.|b
A|Do you work at T I?|qy
B|Yeah, you?|ny qy
A|Yeah, I just got a little booklet, uh, this not what we're supposed to talk about, just got a little booklet in the mail with the gifts, and I thought, I better make some calls.|ny sd sd
B|I know, I know, they.|aa aa %
A|Yeah. Well, I haven't had a chance, I haven't got a chance to look at them yet.|b sd
B|It was a lot nicer than I expected.|sd
A|My daughter, uh, got a few calls at home. She talked to some student in, I guess they give them to computer students, too, in, uh, Virginia, something like that. She's talked to two students.|sd sd sd sd
B|I've talked to, I don't think they were students, one, I think, worked at a university, university um, and the furthest away I've talked to someone has been New York.|sd sd sd
A|Yeah. Oh, yeah, great. Uh, we're supposed to talk about the elderly now, I guess, uh,|b b ba ad
B|Yes, we are.|aa aa
A|Do you have anybody that you, uh, are close to that decision on, or anything, or, I've thought about it for myself and all, and my my wife's mother is in a retirement home. She's not in a nursing home. Uh.|qy sd sd sd
B|Oh, well that's a, did you push the button?|% qy
A|Yeah, did I, didn't we push?|ny qy
B|Did we,|qy^d
A|Let me, I'll hit it again just in case.|sd
B|Okay, just in case|b sd
A|I did it as she said, yes. But, uh, she's she's down in San Antonio|sd % sd
B|Now, what, Oh.|% b
A|and it's, it's a, uh, it's a brand new one. It's a Catholic, uh, retirement home for nuns. It's at, uh Trinity, uh,|sd sd sd
B|Oh.|b
A|no, let me see, Trinity, I keep calling it it's not Trinity, I'll think of, Incarnate Word, and they have a retirement home for the nuns|ar ^h sd ar % sd sd
B|Well, isn't that neat.|ba
A|and they take some lay people.|sd
B|Isn't that neat.|ba
A|Yeah, and that one's really super. Now I, I know what they're talking about on regular retirement. Yeah, there's not too many, they do have a wing where the people who are really sick, you know have nurses.|aa sd sd % % sd
B|Uh-huh. Oh, that's good.|b ba
A|And then they have other wings that we visited, uh, that are very nice. I mean it's just super.|sd sd
B|That's neat. Just supervised more or less than anything and security, I guess.|ba qy^d
A|Oh, yeah, they, they, they have, uh, like, uh, a guard with locks. We've been there once at night at Christmas. She just went in last year.|ny sd sd sd
B|Oh.|bk
A|She drives and everything, she, she, she's perfectly healthy.|sd sd
B|Uh-huh.|b
A|Uh,|b
B|What made you all decide to put her, or what made her decide to go?|qw
A|Well, her husband died. They were in the military together, and she just did not want to take care of the house|sd sd sd
B|Right|b
A|and she visited the place, and then fell in love with it, and decided to just shun all responsibilities of any kind, so to speak, and so she's happy as, as heck,|sd sd
B|Well, that's good.|ba
A|and they serve meals, of course.|sd
B|That's great.|ba
A|They have clubs and a swimming pool, so that's nice. Now I, I know the ones where you're really ill, we visited a long time ago when she had a grandmother that was in one.|sd ba sd
B|Uh-huh.|b
A|And they were all more or less hospitalized type you know, really, really sick.|sd
B|Right. Shut-ins and,|b %
A|It's a tough question.|sv
B|Yeah, it really is. I worked in one as a teenager. I volunteered,|aa aa sd sd
A|Oh, you got more experience than I do then on it.|sd
B|Well, it was really, it was really sad, heartbreaking, I guess.|sd
A|Yeah, yeah.|aa aa
B|And, uh, I just, oh, I just felt for those people, especially the ones that never got visited.|sd
A|Oh, that would be awful.|sv
B|That just bothered me.|sd
A|I never thought about that, you know.|sd
B|That just bothered me so much, especially, you know, at my age, I was probably about fourteen.|sd sd
A|Uh-huh.|b
B|And that really made a bad impression on me I always thought, not really bad of them, I mean, because they are, most of them I believe are probably pretty good for the people, but, I don't know. It's just a, it would be a tough, tough decision.|sd sd h sv
A|Yeah, I think that, uh, hopefully we as a country are learning a little more about it, and they're getting nicer.|aa sv sv
B|Right.|b
A|I've seen on T V where they take animals and young children, in fact my daughter is one. My wife took my daughters one year when they were getting some points for school, took them to an elderly home, and boy that really pumps them up.|sd sd sd sv
B|Helps, yeah.|aa aa
A|That is very nice to see young people. I think that's one of the sad things, is when you're in an older home.|sv sv
B|Uh-huh, uh-huh.|aa aa
A|If you just have people your own age, you never get a chance to see kids or anything or animals or anything, you know|sv
B|Right. Right.|b b
A|you can't take care of them, kind of obvious you can't take care of children or animals in a nursing home,|sv sv
B|Right.|b
A|but it's nice to have them visit and everything.|sv
B|Yeah, and get that youth back.|aa sv
A|Yeah.|b
B|You know, sometimes that even helps them, just being around young people to, because some of them are so, um, just stationary|sv
A|Right.|b
B|I mean, they'll get in a wheelchair or they'll just sit in a chair and, and, until you come along and really try and pump them up, they're just stationary, and I feel like, gosh, that's all they do all day long. So I do, love to see young kids go and, and men take the pets and everything. I think that's a real, real neat idea.|sv sv sv sd sd sv
A|Yeah, I think you do get more by by stimulation. My, in fact, my mother in law just visited. She's just about seventy-five. Again, perfectly fine.|aa sv sd sd
B|Yeah.|b
A|But, one, and, and she visited us here in, in Dallas. When she went back, every time she goes back to, uh, San Antonio, my wife has two sisters there, too, she said she's much better, she's much more alive and, and, uh, active when she's been on a visit with somebody else, you know|sd sd sd
B|That's, Yeah.|% b
A|and, and our routine has obviously hectic with teenagers and everything|sd
B|Right.|b
A|and she's much, and so the stimulation part is really important. I think, like any animal, anything|% sv
B|Right.|b
A|you just lay around, uh, that's the fastest way to die, I think, you know.|sv
B|Stagnant Yeah, that's exactly right. I think they're really neat. Um, of course I've seen those reports on T V, the horrible ones|aa aa aa sv sd
A|Oh, yeah.|b
B|and that scares me.|sd
A|I'm afraid I'm a T V flipper. Anything bad, I like, I like to, flip, I flip it off. But it's sad, it's sad, yeah.|sd sd sv sv %
B|It's sad to think that we would do that to people, and you know, I've seen them on T V with, uh, bed sores, and oh, they just stay in the same clothes or the same sheets and not do laundry.|sv sd sd
A|Oh, yeah.|b
B|And I just think, how can you do that? These people have given so much of their lives, you know, to, to America you know, whatever,|sd sv
A|Yeah.|b
B|and here is how we treat them. Just put them in a home and leave them.|sv sv
A|Right. When I was, uh, younger, we, I lived in the East, I'm from the East really, and it seemed like there were several people that I knew that had their, uh, parents, I guess they would be, but well in their living with them.|aa sd sd sd sd
B|Uh-huh|b
A|And one of them was even a woman who was fairly old, and I guess she, she had her own separate room. And I think, whether it's more a custom up there, or maybe because I was younger|sd sd sd
B|Right.|b
A|and it's just not a custom anymore to have, uh, you know, the grandparents live with you anymore. I guess that, uh well, we aren't getting away from that, which is not right.|sv sv
B|I think, Right. I think it's neat. I think, uh, you learn a lot from them from all their experiences,|% aa sv sv
A|Oh, yeah.|b
B|and, and that's one of my favorite things to do is sit around and listen to their stories.|sd
A|Oh, right, right.|b b
B|I think that's neat, because they really have a lot of good insights that my my husband's father is really old.|sv sv
A|Yeah.|b
B|He, he had him late in life, and he's, he'll be eighty this year.|sd sd
A|Oh.|b
B|And I just, uh, he lives with different, you know, people in the family. He'll switch from time to time. I just,|sd sd %
A|Well, that's nice in a lot of ways.|ba
B|Yeah, I just couldn't imagine locking, not locking him up, but putting him in a home and just,|aa sd sd
A|Bet you were surprised that you said that by mistake. Yeah, right,|qy^d % %
B|Lock him up.|sd
A|That's what I think about it for me, I think, Well, my kids better not do that to me.|sd sd
B|I know, I know.|aa aa
A|I don't want that, you know. So I, I think of it, Well, how would I want to be treated rather than, well,|sd sd
B|Right, exactly.|aa aa
A|it's easy to say, Oh, yeah, let's put these old folks in a home, but when I think I don't want to do that, you know. I don't want to be|sv ^q sd sd
B|That's right.|aa
A|I'd want to have my little home. I always threaten my daughters, I say, Well, I'm going to build a little house behind yours, and I'll take care of your lawn, he says, but I'm not going to one of those places.|sd sd sd sd ^q
B|Oh, you're going to put me away.|^q
A|Right, yeah.|aa aa
B|That's what my mother, she always, You're going to lock me up one day, aren't you. I can tell, you're going to lock me up.|sd % ^q ^q ^q
A|That's what we, that's the way we call it, which is really wrong.|sv
B|I know.|aa
A|But my wife's mother, and the one, she's in San it's everything but. The opposite of what you've seen. I mean it's a little hotel, you might say.|sd sd sd sd
B|Right. That's great.|b ba
A|Again, a swimming pool, and grounds, and she has enough room. She has two bedrooms, and a, and a separate living area.|sd sd sd
B|Gosh.|ba
A|They don't have kitchens or anything|sd
B|Right.|b
A|but they have little, it's like uh, on each floor they have a little kitchen area where you can go down and have a make a meal, you know.|sd
B|Yes. Prepare your, Well, that's great. Now can she leave, um, on a day by herself?|b ^2 ba qy
A|Oh, yeah, it's, it's, it's nothing like that. It's like living in the hotel. I mean she's totally on her own.|ny sd sd sd
B|Oh, man. That's neat.|ba ba
