A|Okay, what kind of hobbies do you have?|fo_o_fw_"_by_bc qo
B|Um, mostly what I do, I do do some crafts like it mentioned in the thing, and then I, I read a lot.|sd sd sd
A|Uh-huh. I like to read, too I was trying to think of some while, while it was, uh, talking about it, and then I, it took so long for someone to answer, I started reading the newspaper, and kind of forgot about it|b sd sd % sd sd
B|Oh.|b
A|But, uh, yeah, I'd say reading is probably one of my biggest ones, because it's the type of thing that you can, you can do a little bit at a time, whereas, I would love to do crafts and stuff if I just had the time to do it or if I had the space.|b sd
B|Uh-huh.|b
A|I live in a pretty small apartment, and, uh, I would have to, you know, put stuff away. I have two cats, so I couldn't really leave it out if I was working on something.|sd sd sd sd
B|Uh-huh.|b
A|Reading is a little bit easier to work around.|sv
B|Yeah, you can pick it up and take it wherever you go. any space.|aa sv
A|That's right.|aa
B|I get too involved in reading sometimes that I neglect what I should be doing.|sd
A|That's true, I do the same thing|aa sd
B|You get so involved in what you're reading.|sv
A|What types of crafts do you do?|qo
B|I do a little bit of woodworking, well, I used to. I don't have the equipment here. We moved to Dallas about a year ago|sd sd sd sd
A|Uh-huh.|b
B|and my dad had a lot of woodworking equipment|sd
A|Uh-huh.|b
B|and I did some of that. Um, here I've mostly done things that I can do strictly by hand, um, sewing and quilting and, um, what else have I done Things to hang on the wall.|sd sd t1 sd
A|Uh-huh.|b
B|Mostly just stuff that I can, you know, use right around the house or give away as gifts.|sd
A|Uh-huh. Right.|b b
B|I've been making a lot of quilts, well, not a lot, but several quilts lately.|sd
A|Uh-huh.|b
B|So.|%
A|I enjoy, uh, sewing and needlework also. I've, I've, uh, made some small things, cross stitch things. And, um back when I was in high school, I worked at a needlework shop,|sd sd sd
B|Uh-huh.|b
A|and I, I used to do the latch hook rugs and needlepoint and things like that, and I, I still remember how to do it. It's just been so long since I've actually sat down and taken the time to do something like that. But I have recently done some cross stitch.|sd sd sd sd
B|Uh-huh.|b
A|And I enjoy doing that. It's just the same old thing, it's just getting the time to do it|sd sv sv
B|Yeah. I've done some cross, um, cross stitch, but I never count right, and I always have to either take it out or have my picture slightly off centered or, or something.|aa sd sd sd
A|Uh-huh|b
B|It never has worked out completely.|sd
A|Yeah, it takes a lot of concentration. I mean, it was the type of thing, I was, I was making some little things for Christmas, and I also made a little thing for a baby gift, and, uh, I thought, Oh, I can do this while I watch T V. Wrong|b sv sd sd sd sd sd
B|Right.|b
A|No, you must pay all attention to what you're doing. It's, it is a lot more difficult than it seems like it would be. It took me, uh, quite a bit of time. I though, Oh, this won't take long at all. But I was wrong.|ar sv sv sd sd sd
B|Uh-huh.|b
A|It took, it took a while to do. But, it was fun, I enjoyed it.|sd sd sd
B|Yeah. The first project I started out one was a big one, it was, uh, it was of a lady and she was kneeling, and it was about fifteen by twenty maybe.|b sd sd sd sd
A|Oh my gosh.|ba
B|And I, it was just too much to start with. And I still haven't finished it, because I, I stopped, and I thought I better do some simple things and work up to this because it was just so difficult to get it done.|% sd sd sd
A|Uh-huh. Yeah.|b b
B|And there were so many different shadings and colors, and, and, it was just too much to begin with. And I think kind of discouraged me from doing much more with it.|sd sd sd
A|Yeah. That's pretty understandable.|b ba
B|And I've done some of the crewel and the, um something similar to that|sd
A|Uh-huh.|b
B|but it doesn't have the specific stitches. Anyway, it's a little bit more loose, and not quite as structured, and I like that a little bit better the variety of stitches and stuff in that.|sd sd sd
A|Uh-huh.|b
B|More like embroidery or something.|sd
A|I'm trying to think of anything else I do as a hobby. Um. I don't even watch T V very much. I was tonight, but|sd sd %
B|Yeah. I was reading when you called.|b sd
A|Yeah.|b
B|How about movies, do you like to go to movies?|qo qy
A|Yeah I do, I do like to go to movies, and I have a V C R, so I like to rent movies, and, um, I have, right now I have the movie channel, so I've recorded quite a few movies off of that. Um, just, I've kind of got a collection going of tapes now, and whenever I go visit my parents, they're always saying, Well, bring some of your tapes They always borrow a few of them. I was over there, they live in Duncanville|ny sd sd sd sd sd sd sd sd sd sd
B|Uh-huh.|b
A|and I was over there at Easter, and they said, Bring some tapes with you. So they are always borrowing my tapes.|sd sd sd
B|Yeah.|b
A|But, uh,|%
B|Well we,|%
A|I like to, I like to do, uh, stuff with plants. I like, um, I have a lot of plants in my apartment, and I've got a pretty small porch, but it's, it's, uh, I've got a few planters out there that I, I'll, uh, you know, in the winter time I usually plant some pansies in there, and then in the summer I'll plant petunias, or something that's colorful and like, that blooms a lot. But haven't done that yet.|sd sd sd % sd sd sd sd sd sd
B|Uh-huh.|b
A|I kept thinking that it was going to get cold one more time, but I think we're probably past that now. I probably should go buy some.|sd sd sd
B|Yeah.|b
A|I guess if I had a house I might enjoy gardening, some. I'm not real crazy about pulling weeds and things like that.|sd sd
B|Yeah, it's the hard work.|b sv
A|Yeah, I like the planting, and watering is okay.|aa sd
B|It's so nice though when you have a nice yard full of flowers, it's so I mean, we don't. We live in an apartment also.|sv sv sd sd
A|Uh-huh.|b
B|I've got a few plants here, but I'm not really knowledgeable. I feel real good if I water them and they continue to grow. You know, I feel like, Oh, I've accomplished something.|sd sd sd sd sd
A|Uh-huh.|b
B|So I enjoy it, but I'm just not experienced enough with|sd sd
A|Yeah. I don't know too much about it either. Mine's pretty limited to my little, uh, porch plants And then the ones in my apartment, half of which don't look real healthy, but I don't always get direct sun except in certain spots.|b sd sd sd sd
B|Oh, yeah.|b
A|And so that's probably my problem there. But,|sd %
B|Have you tried any, growing any, um, like fruits and vegetables or anything? I guess vegetables are in, like in pots and stuff?|qy qy
A|No, I never have tried that, just because I don't have that much space on this little porch here in this apartment or this little balcony.|nn sd
B|Uh-huh.|b
A|And my other two pots are, they're kind of, they're pretty big, and I have enough plants in them that it takes up a lot of my porch area, so between that and the chairs and the barbecue grill and the fireplace wood, there's no room for much else. But my dad, uh, my dad used to grow tomatoes and things at the house. And I'd, I think when I was real little I probably had a finger in on that every time he did it and had to be out there and watch and that type of stuff.|sd sd sd sd sd sd
B|Uh-huh.|b
A|But I've never really tried anything like that since then.|sd
B|Well, I considered it last year and this year both, but I haven't done anything about it.|sd sd sd
A|Uh-huh.|b
B|So. I think it would be nice to just go out and pick some tomatoes off the porch. We get lots of sunlight here, and the porch is screened in and it's pretty large.|sv sd sd sd
A|Oh, wow.|ba
B|So, um, I think if I just would be, if I'd do something, be motivated enough to do something, I think it would work out well.|% sd
A|Uh-huh.|b
B|But, but there goes that motivation thing again|sd
A|Right. Well, I enjoy playing with my cats. I don't know if you'd call that a hobby, but I have two cats, and I gave them a bath tonight, so they're a little bit angry at me|aa sd qy^d sd sd sd
B|. Can you can you put them right in the water?|qy
A|They didn't like it too much. Yeah, oh yeah|sd ny ny
B|Oh, that's good,|ba
A|right in the tub, and it helps because its the time of the year that they're shedding a lot, and cleaning cat fur off the couch and off the floor is not a hobby of mine. So I thought, this'll help, you know, help them shed, and sure enough, boy the fur just came off like crazy once I got them in the tub.|sd sd sd sd
B|Oh, yeah.|b
A|So, they're pretty content now, but they were mad at me for quite a while. They went and hid after they, after they got dried off.|sd sd sd
B|Sulked for a while, huh|qy
A|Yeah.|ny
B|Well, I like animals, but we don't have any yet. We have a nine month old with another on the way|sd sd sd
A|Uh-huh.|b
B|and we thought, well maybe when they're a little bit bigger then we'll,|sd
A|Yeah.|b
B|or get into a house with a little more space. I'd love to have, have some animals.|sd sd
A|Uh-huh.|b
B|But I like dogs and my husband likes cats. So we haven't reached a real agreement on that yet. If we get a place where we can have both, it'll be great, but until then,|sd sd sd sd %
