A|I'll let you go first.|ad
B|Well I think, I don't know how your schools work back there but we support our schools here with property taxes.|sd sd
A|Uh-huh.|b
B|And the land owners or home owners are the ones that pay the school tax. So if you're renting a house or doing anything else, you're not actually contributing to the education of your children. And I think that's wrong, I think everybody should contribute to the education of their children even if they had to raise the sales tax by one percent then everybody going through the state would be supporting our education system. So, as it turns out, we don't really have a tremendous education system because they don't have the money they need to run it.|sd sd sv sv sv
A|Yeah, I, uh, I spent a couple, uh, years down in, uh, Plano, Texas.|b sd
B|Uh-huh.|b
A|And, uh, I was one of the home owners down there that got taxed to death, for the, uh, Plano, uh, school system.|sd
B|Yeah. Yeah.|b b
A|And, uh, I, you know, I know that Texas doesn't have a state tax,|sd
B|No, huh-uh.|aa aa
A|and so all the things come out of the, the property taxes,|sd
B|Yeah.|b
A|and I was, uh, really shocked at the amount of taxes I ended up paying. I was, I was better off paying a state tax back in Maryland, where,|sd sd
B|Yeah, yeah you would be.|aa aa sv
A|than I was, uh, paying the, uh, property tax down there. Uh, what they did in Maryland to get around that is they, uh, they developed a renters tax solely for the purpose of paying for the services, that the renters were getting including the, uh, educational services.|sd sd
B|Oh. Yeah.|b b
A|And, uh, the tax was administered by, uh, the, uh, rental company that actually was managing the apartments so when, uh, long, long time ago, when I used to live in apartments, I would pay a rent payment every month and a tax payment every month.|sd sd
B|Oh. Gee.|b ba
A|And the tax payment went to pay for the services that I was getting as a, a resident of that particular county.|sd
B|Yeah.|b
A|And, uh, that's the way it worked. Here in Maryland we have, uh, a certain portion of your, your property taxes, uh, goes to education,|sd sd
B|Yeah.|b
A|but also a portion of the state tax that you pay goes back into the county that you live in, to pay for the educational system.|sd
B|Oh, well that's pretty good.|ba
A|And so it, it works out nice, it, it, it makes it so that the, uh, whole county now, I, I know the concept of counties in Texas is quite a bit different than it is here in Maryland, uh, like Collin County, uh, would only equal about maybe an eighth the size of Baltimore County, here in Maryland.|sv sd sd sd
B|Oh, yeah.|b
A|I mean the, the counties are much larger.|sd
B|Yeah.|b
A|You know, in the, the whole state of Maryland I believe there's only like, uh, fifteen counties.|sv
B|Gee whiz.|ba
A|And, so, uh, you know each county has their own school system an, and it works out real nice. Um, the, the flip side to this is, are we getting what we're paying for,|sv qy
B|Yeah.|b
A|and I don't believe so, um. A lot of things have come to head recently and I heard a report because, of, uh, uh, the emphasis that the President was putting on education, you know, uh, him running as our education president and then finally a couple of years later getting around to doing something.|sv sd sd
B|Uh-huh. Yeah.|b b
A|Um, they said since they imposed the federal regulations on education, in other words, they came up with this federalized system where everyone in the third grade would be taught basically the same thing.|sd sd
B|Yeah.|b
A|And, then, at the end of, uh, school year they would be tested and then they go into the fourth grade and everybody in the fourth grade's basically taught the same thing.|sd sd sd
B|Yeah.|b
A|So when they came up with these, this nationwide system of public schools, uh, they gave some figures out and since it's inception, uh, they've, the price has gone up per the prices paid by the federal government per student has been thirty-three percent.|sd sd
B|Yow.|ba
A|And so they're actually spending thirty-three percent, and that's real dollars, you know, adjusting it back to, to the days, you know, when it started, uh, probably, you know, seventy years ago.|sd sd
B|Yeah.|b
A|And what they've said is that we haven't had a thirty-three percent improvement in education.|sd
B|No, huh-uh.|b b
A|We've actually gone backwards.|sd
B|Well they say that Texas schools are some of the lowest in the nation. That our high school graduates can't even match the national average.|sd sd
A|Yeah.|b
B|So, you know, our school system down here is no where near perfect but they keep complaining they don't have the money to do it.|sv sd
A|Yeah, well, they, they've been having some problems, uh, even here in, uh, like Baltimore City which is, a, a, pretty good good sized city.|b sd
B|Yeah.|b
A|Uh, they've been putting a lot of, uh, stress on it and of course, speaking of stress the teachers are all getting stressed out from trying to, you know, do everything they're supposed to do and of course they've, uh, been cutting the teachers salaries, because they say we don't have the money to do it|sd sd sd
B|Oh, yeah.|b
A|and, all the services are costing more money and, and everything, uh,|sd
B|Yeah.|b
A|but uh, a lot of now is being put on, you know, when children used to be taught, you know, like, uh, uh, each child is individual,|sv
B|Yeah.|b
A|you know, they're not all the same and some students do horrible until like eighth grade,|sv sv
B|Yeah, they need to take things at their own speed.|b ^2
A|some do horrible, you know, until they get to like tenth grade,|sv
B|Yeah.|b
A|and then all of a sudden everything clicks in, you know. And then there are some students that, you know, read well at five years old, and, you know, seem to excel.|sv sv
B|Uh-huh.|b
