A|Okay.|fo_o_fw_"_by_bc
B|Hi. Do you have lots of credit cards|fp qy
A|Yeah, we, well, we have quite a few but we don't really use them a lot. We have, well, we like a lot of gasoline credit cards, because we like to be able to stop, you know, when we're traveling and stuff wherever there's a station,|ny sd sd sd
B|Uh-huh.|b
A|but as far as like MasterCard and Visa, we don't use those too often. What about you?|sd qo
B|Um, I used to have a ton of gas credit cards, and now I have one or two of them, but I think I've even let some of them expire. But I was living out of the country for a while so I wasn't using them too much|sd sd sd sd sd
A|Uh-huh.|b
B|and I don't drive that much. But I have, you know, MasterCard and Visa as you know, I have a MasterCard and an American Express now. I got rid of the Visa because it was getting out of hand having fifteen million cards.|sd sd sd sd
A|Right.|b
B|But, as long as, like my MasterCard is, um, free as long as you spend about, I don't know three thousand dollars a year or something like that.|sd sd
A|Uh-huh.|b
B|And so, I tend to buy almost all major purchases on a credit card, when I have the choice.|sd
A|Yeah.|b
B|And, um, I used to even use it for my grocery shopping and stuff. The stores around here don't let you do it too much.|sd sd
A|Oh, really?|bh
B|And so I don't. But I was living in France and there you pay for everything by credit card,|sd sd sd
A|Huh.|b
B|but it's not really a credit card|sd
A|Oh, is it like an automatic debit or|qy %
B|It's a, it's a debit card, yeah.|na ny
A|Oh, huh.|b
B|And, um, just, you know, it's many times you get out of the store faster if you pay with that than if you pay with cash. to person in Bye, thanks.|sd t3 t3
A|Oh, really?|bh
B|Um, yeah. Because they're just so well set up with it|ny sd
A|Yeah. We use our credit cards sometimes for a big purchase, but we always have the money set aside already to, and then we just pay it off the next, month.|b sd sd sd
B|Right, well,|b %
A|We never pay, we don't like to pay interest on the credit cards at all.|sd
B|Yeah, I, I never pay finance charges on them except when I screw up which I occasionally do.|aa sd
A|Yeah.|b
B|And, you know, I'll forget to pay the bill by the due date, or this last month I mailed a check to them on the twenty-second and they didn't get it until the thirtieth, and it was, due the twenty-fifth.|sd sd sd sd
A|Gosh. Uh-huh.|ba b
B|And you know, so I thought I, and so I got hit up with a uh, finance charge on it which pissed me off because, um, you know, I really did mail it in time.|sd sd
A|Yeah. Right. Yeah.|b b b
B|But they have no proof of that. I don't, I don't want to probably talk to them some more discuss it, but I, I never, um, usually never pay finance charges.|sd sd sd
A|Yeah, that, yeah, we, we screwed up one time like that too. We mailed it and they just never did get it, and we had to finally mail them another check.|b % % sd sd sd sd
B|I had that hassle one time and that went on for months and months and months because, and they eventually found the check and deposited it|sd sd sd
A|Huh.|b
B|and months later they were still telling me that I owed them finance charges and, um, late fees and things like that. And I said, well, I mailed you a check and you eventually did deposit it. So, you know, I guess I don't know who the, the burden of proof is on.|sd sd ^q sd
A|Yeah, I don't either.|aa sd
B|You know, kind of the , because you never when I pay bills I don't make a Xerox copy of it or I don't um,|sd sd sd sd
A|No, you figure, you'll get your check back if you have to.|aa bf
B|Right. Or I don't get a, I don't mail them all a signed receipt whatever I, you know, at the bank to have a proof of when I mailed it.|aa sd
A|Yeah.|b
B|And, I mean you can't do that, it would be ridiculous.|sv sv
A|Really. I like to use my card if I buy something through the mail which I don't do real often or something from out of state, you know, where if something is wrong, you don't want to end up having to pay for it.|aa sd
B|Right. Well, you can,|b sd
A|A couple times I've had to write big credit card companies and say, you know, I didn't really get this or I don't know what this is.|sd ^q
B|Right. Or I returned it so don't charge it, yeah.|aa sd ^q %
A|Yeah.|b
B|Well, that's basically what happened with us is we bought a computer, and the computer, um, wasn't, didn't do what these people said it would do.|sd sd
A|Uh-huh.|b
B|We need to just put external cards in and it wouldn't do that so he brought it back to them, and they're supposed to modify it. And so I called the credit card company and said, well, we haven't really taken possession because it's not useful for us. We can't use it.|sd sd sd sd sd ^q
A|Uh-huh.|b
B|And then they said, well then don't pay it. And then a month later, I had to dispute it in writing, and I was out of the country and got back, and I took care of it as as soon as we got the computer back and it was okay. I mailed off a check but then it was too late. So now they're hitting me up there with a finance charge.|sd sd sd sd sd sd sd sd
A|Oh|b
B|But it's sort of, you know, it's, it's half our fault.|sd sd
A|Yes, it's,|aa %
B|And so|%
A|yeah, if you filed that letter with them then they will kind of,|b bf
B|Right, if I had filed the letter to dispute it and then paid it eventually, it would have been okay.|aa sd
A|Yeah.|b
B|So I learned that for the next time.|sd
A|I'm like you, too, about the yearly fees.|sd
B|Yeah.|b
A|I don't, uh, I don't like to pay the yearly fee for a card. Right now both the MasterCard and the Visa, we don't have to pay a yearly fee on and since we don't pay the interest it doesn't really matter what the interest rate, is too, just as long as we don't have to pay that yearly fee.|sd sd sd
B|Uh-huh. Right, yeah.|b b b
A|Now we had American Express cards and my husband had always had that before we got married, and those got so high we finally decided for him and me both to have a card it was like ninety dollars or something I think,|sd sd sd
B|Yeah.|b
A|I can't remember but we decided let that one go and,|sd sd %
B|Well, my husband and I both have that and I don't know what we pay for his card, I pay I think, I have a gold one so, I think it's like seventy-five dollars for me|sd sd sd sd sd
A|Uh-huh. Yeah.|b b
B|and I'm not quite sure what it is for him. But I had really like there nowadays I'm not so sure that it's worth it,|sd sd % sd
A|Uh-huh.|b
B|but, um, in the past there, you know, there are some places that only take American Express|sd
A|Yeah.|b
B|and then they don't have the credit limit because I've over done the credit limit on the other card, if my husband and I both travel, it, you know, a couple of plain tickets and a little bit more and you're over the limit on the credit card.|sd sd
A|Yeah.|b
B|And, um, with the American Express they say there is no limit. There really is but they, tell you that, but then that was one advantage but that's like, I don't, I think it's seventy-five dollars for me and forty for him for a year which is a lot.|sd sd sd sd sd sd sd
A|Uh-huh. Yeah.|b b
B|Be|%
A|But, yeah, like you said, if you really, if you need that extra for charging tickets and stuff, it's more worth it.|aa sv
B|Yeah, well, we should probably get another, um, Visa card, one, another one that's free.|b sd
A|Uh-huh.|b
B|Because there are some, like I think A T and T has one that's free if you make two purchases a year.|sd sd
A|Oh.|b
B|Well so,|%
A|Yeah, that wouldn't be too hard to do|b sv
B|Yeah, and so that's easy enough to do, and if that's true, that's, um, it might be better off to have that as a second card just to have the credit. And get rid of the American Express because it costs so much.|b sv sd
A|Yeah. Have you ever run into problems of charging up more than you meant to and having to, be stuck with that?|b qy
B|No.|nn
A|We've never had, that problem either.|sd
B|No. I, and I don't I mean, I guess I do understand the mentality of people doing it but I don't understand. because people think it doesn't really cost them anything to pay. I have had months where I was shocked at how much had come in because like I thought I would buy a big expense and think that it would take one or two months to process|nn % sd sd sv sd
A|Uh-huh.|b
