A|Okay, I'm back on.|fo_o_fw_"_by_bc sd
B|Okay.|b
A|Um, you say you watch evenings mostly?|qy
B|I watch evenings because I work all day. I used to watch daytimes.|sd sd
A|Uh-huh.|b
B|Um, mainly like ALL MY CHILDREN, that kind of thing.|sd
A|Oh, so ...|%
B|And then sometimes OPRAH and sometimes DONAHUE, but now it's mainly evenings.|sd sd
A|Do you have any that you like well enough that you tape them when you're not going to be there?|qy
B|Yes.|ny
A|Which ones?|qw
B|I tape THIRTY SOMETHING, and L A LAW.|sd
A|Oh.|b
B|Those are the two I like the best.|sd
A|Oh, two they're going to change. Well, one they're taking,   off.|sd sd
B|I know. It's going to be history, I know.|sd sd
A|I don't know what's going to yeah, we like L A LAW.|sd % sd
B|Uh-huh.|b
A|We don't watch THIRTY SOMETHING, but that's kind of young for us. My husband and I are grandparents.|sd sd sd
B|Oh, well. Well ...|%
A|So we don't watch, uh, that type of show, but we like L A LAW. We like, that.|sd sd sd
B|Uh-huh.|b
A|We're just, I'm sorry they're breaking the team up, because we liked all the ones that were on there.|% sd
B|I know. I'm amazed.|aa sv
A|I'm not sure I like the new ones too much.|sd
B|Huh-uh. I'm surprised that, I was surprised at the ending of, you know, with all the funny things happening and different things.|b sd
A|I just wonder if, if, uh, they just want to go on to other projects and not be stuck in this show, since it's gone on for so long, it looks like, it looks like it might be one of these seven or eight year run things. Where you kind of can spend your whole career on one show.|sv sv
B|Uh-huh. Uh-huh. I know.|b b aa
A|Of course, I guess that's not bad. Alan Alda did it on MASH.|sv sd
B|I know. Isn't that funny?|aa qy
A|It hasn't hurt him at all. So do you, do you mostly like this type of like a story type of thing that lasts an hour?|sv qy
B|Oh, I don't usually like stuff that continues. That's why I'm surprised I like those two shows, because usually I like, you know, stuff that just ends sort of, that you just, you don't have to, have watched, you know.|ng sd
A|In one hour, like QUANTUM LEAP.|^2
B|Yeah. I mean, you don't have to ...|aa %
A|That's one of our favorites|sd
B|Yeah. You don't have to have watched it last week in order to follow, so, you know, I usually don't like that.|b sd sd
A|Right, which they do at the beginning of the season, to grab your attention. You know,|aa sd
B|Uh-huh.|b
A|that's always a bummer too.|sv
B|I know.|aa
A|Sometimes it's better just to tape record both of them and then watch it all in one.|sv
B|Uh-huh.|b
A|We, we do that sometimes. I, I guess I'm, I'm not into real heavy stuff. L A LAW is about the heaviest thing I watch. I, I'll, mostly I'm into it for relaxation,|sd sd sd sd
B|Yeah.|b
A|so I like things like GOLDEN GIRLS or CHEERS or, uh, Monday night is real good with me, you know, MAJOR DAD and, and, uh, NORTHERN EXPOSURE and, and, uh, oh, what's that one with Burt Reynolds? That type of show is what we what, uh, we watch.|sd sd qy sd
B|Uh-huh.|b
A|We generally just stay on one channel all, for all of Monday night, just to watch those. Just some of the times they're continued, but mostly they're just little vignettes. A new one we found we really like is that DINOSAURS. Have you seen that?|sd sd sd sd qy
B|Huh-uh.|nn
A|That is, it's, it's really funny. They use like animated, it's not like a cartoon, but it's like dummies and things, that are used,|sv sd sd sd
B|Uh-huh.|b
A|and, uh, it's really, um, and robots probably. But there's always a, a moral to each story.|% sd sd
B|And what night is it on?|qw
A|Well, we watched it, the times we've seen it, it's been like on or, excuse me, Friday night. Uh, but it's, we've only seen it a couple of times. But it, it's real, the first one we saw, um, they were, it, it involved a tradition of when a person reaches seventy-five, and I can't remember what day they call it, but, but, uh, the son-in-laws get to throw the mother-in-laws when they're seventy five over a cliff|^h sd % h sv sd sd sd
B|Oh, great.|ba
A|Anyway Anyway, it, it goes on, you know, and the son-in-law and mother-in-law are sniping at each other and all, and then when it comes time for him to throw her over, well, the, the teenaged son the night before tried to save her by hiding her.|sd sd sd
B|Oh.|b
A|And she said no, you can't do, you know, he ran her out, was running to in a wheelchair to hide her, and she said, "You can't do that."|sd ^q sd sd
B|Huh.|%
A|"This is tradition. This is what old people are supposed to be, thrown over the, the cliff." And, uh, he said, "I don't understand." It's, it's real funny that they give the teenagers the, as the one that questions, uh, the, what's going on.|^q ^q sd sv
B|Uh-huh.|b
A|And, uh, in the end of, uh, the son-in-law, when he did get the mother-in-law up to the cliff, uh, the the teenaged son throws himself in the way and says, "No, you can't do it," and then, and then, uh, "Oh, well, we've got to do it. It's tradition," and the son was, you know, "Why?" And so, in, in the end he doesn't throw her over,|sd sd sd
B|Uh-huh. Oh, he doesn't.|b bf
