A|Uh, well, let's see.|fo_o_fw_"_by_bc
B|How many, you said yours are all, I mean, that sounds like an army.|qw sd sv
A|Five.|sd
B|Oh, lord. That is an army, I came from a family of six, and I have only got two, and they are, one ...|ba sv sd sd sd
A|Well any number is nice, let me tell you.|sv
B|Well, I kind of decided that single, single children that, that, that's not parenting, that's a hobby.|sv sv
A|Yeah.|b
B|But,|%
A|It's not as fair to the children either, I do not think.|sv
B|Well, do not tell that to all my friends. They are into quality time.|ad sd
A|Oh.|b
B|I am into getting through the day.|sd
A|Yeah, but sometimes you can hurt them by having too much quality time too.|b sv
B|sounds as if speaker B is washing Well I, I, I can spot a kid who really, you know, whose parents spend every, quality time with them, you know, outside of the work day.|sd
A|Uh-huh. Uh-huh.|b b
B|And when I take care of some people's kids, you know,|sd
A|Uh-huh.|b
B|when they, when they have teachers' holidays, and that kind of stuff, I will take my friends' kids, that are usually in day care,|sd
A|Uh-huh. Uh-huh. Uh-huh.|b b b
B|and you can spot them, because they have no idea how to hang out and mess around.|sv
A|You can tell. How to just entertain themselves.|aa sv
B|Yeah.|b
A|Yeah, yeah.|b^m b
B|Really.|b
A|It's a problem for any child and you take one that's used to being, uh, busy being, having something to do all the time, it makes a big difference.|sv sv
B|It's not a problem for my two, they are only eighteen months apart|sd sd
A|uh, keeps you busy.|qy^d
B|They can find things to do and mess around, and plot and scheme and everything else.|arp_nd
A|Yeah. Well, that's great.|b ba
B|You, did all five of yours complete college?|qy
A|No, our last daughter, she did not want to go to school. She's, uh, but she's married now, they built a home just a couple miles from us. And,|nn sd sd sd %
B|Well, how did you go about selecting a college, then?|qw
A|Well, we did not do it right all the time With our first boy, we persuaded him to start here, and I do not always think you should try to make them stay closer to home. I think the main thing is to, uh, right now, I think the main thing is to look at what they are interested in. Uh, and take what they are interested in, and then, then start looking for schools.|arp_nd sd sv sv sv
B|Do you think that what they say that they are interested in is, at eighteen is going to be what they are ultimately ultimately graduating at.|qy
A|No, not necessarily. But, Mike, our oldest boy, I think he would have. He wanted to go to Embrey Riddle and we talked him into going local here first.|nn sd sd sd sd
B|Uh-huh.|b
