B|Well, let's see.|^h
A|So what,  So what gets you?|qo
B|As far as I'm , Well, the thing I think that annoys me the most is, I have, I have young children, a baby in the house and, and inevitably as soon as they're asleep, someone calls on the phone trying to sell me something.|% sd sd
A|Uh-huh.|b
B|And I think that, that is probably the most aggravating|sv
A|Uh-huh.|b
B|Uh, you know, it invades my time. I'm the one that pays for the phone. Uh, if I want to buy something, I'll take the initiative and, and go find it, you know. And that just really does aggravate me. Uh, what do you think?|sv sd sd sv qo
A|Well, I mean I, that's exactly the kind of thing I would have said. Although in my case it's my wife and I both work, we come home and just as we're preparing dinner or eating dinner the phone rings and it's one solicitation call after another and, you know.|% sd sd sd sd sd %
B|Your time is, is  valuable,|sv
A|Yeah, it's, it's  like you say, very annoying|aa sv
B|and,|%
A|and, uh, why, why do we let this happen.|qh
B|Oh, I, that's, that's interesting. I the, the market seems to just be growing, too. I, I guess enough people are not speaking out. I'm not speaking out, that's for sure. I just get aggravated about it. And,|% sv % sv sv sd sd %
A|Would, would you, I mean if you could legislate something, what would you legislate?|% qw
B|I really don't know. I'm, I'm not into uh, heavy government legislating of a lot of different areas, but I I don't know. I just, I do particularly find it annoying. Uh, I'm really not sure. to be,|sd sd h sd h
A|Yeah. It, it seems, it seems to me that we should have the ability to designate with the phone company that we don't want to receive calls like that. *sv|b sv
B|Well, that, yeah, that might,|%
A|And the people making these calls would be obliged to compare the, their lists that they're going to call against this list of people who don't want to be called.|sv
B|Identify themselves, yeah. Right. Well, that would be a good an interesting way,|^2 aa sv
A|Uh,|%
B|yeah.|aa
A|And, that, that way, those who want it can have it and those who don't want it, don't have to have it.|sv sv
B|Right.|b
A|Sort of like an unlisted number where you haven't gone to the trouble of enlisting yourself.|sv
B|Right, you're,|aa %
A|Except even unlisted numbers aren't safe now because they have these things just sort of dial through all the numbers. Uh, automatically|sd
B|Oh, is that right? Oh, that's interesting.|bh ba
A|and,|%
B|And they just get everybody.|sd
A|Right.|b
B|Oh, boy. Well, I, I do wish that it would stop on my end because it, it seems to happen at the worst possible moments.|ba sd
A|Yeah.|b
B|And I, I guess the next one is, is door-to-door solicitors.|sd
A|Uh-huh.|b
B|I don't mind the children when they're selling things for school. I have kids and, you know, that's just kind of part of it|sd sd sv
A|Yeah|b
B|but when it's adults selling a variety of things and especially when men arrive at about ten o'clock in the morning uh, that really, it makes you not feel particularly safe|sv
A|Uh-huh. Yes.|b b
B|and, it's annoying as well.|sv
A|And these, and these people may in fact be just looking to find an unoccupied house to rob.|sv
B|Right, you just, you really don't know, so I, I find myself being a a bit abrupt and a little bit ruder than than I might normally be|aa sv sd
A|Uh-huh.|b
B|but, I do feel like it's a, an invasion of my space.|sd
A|Yeah.|b
B|And, uh, I've never quite understood the purpose of that. Yeah, I, uh,|% sd % %
A|Well, I think these people were hired by, from, from different sources.|sd
B|Just|%
A|Uh, with, you know, and so, therefore, there's no one answer. But, but, yeah sometimes it's a market basically it's a market survey|% sv % sd
B|Just a survey.|sd
A|but they never say who, who they're really working for or what you know, what what, what questions are, you know,|sv
B|Yeah. There have been a couple of times when the, the, uh, whatever the subject was, I guess caught my interest and I went along with it and then there have been several times when I just said, well, I just really don't have the time, you know to deal with it at that moment.|b sd sd
A|Yeah Yeah.|b b
B|But, uh, I don't get too many of those.|sd
A|Yeah|b
B|I've had just a few.|sd
A|Yeah|b
B|Uh, generally someone's trying to sell me something or,|sd %
A|Right, well, and sometimes that's, this is just the lead in to a sales pitch too.|b sd
B|Right, right.|aa aa
A|Other times it's, you know, wasting your time to collect the data they want for their marketing purpose.|sv
B|Right.|aa
A|For which, if they would just pay me enough money I would be willing to consider.|sd
B|Yeah. That's right.|b aa
A|But, but a dollar isn't it, you know, it's,|sv %
B|Oh.|b
A|Uh, and I also sort of worry that, you know, that sometimes people giveaway personal information. Uh, when, when the call comes and, and they, uh, you know, sort of seductive, to, you know, somebody is asking me my opinion on all of these things, and so I start answering and then you, you know, you go down a path|sd sd sd sd sv
B|Right.|b
A|uh, and you don't know where it's going to end. In fact, you don't even know what you've eventually, you know, the totality of what you've revealed *sv This isn't, you know, most likely not to, going to be used against you,|sv
B|Yeah. Well, we, That's true.|b % aa
A|but it could and, And that seems to be something that should, should really be outlawed. Because it's subject to abuse|sv sv
B|Yeah, you just never know, I guess. That, yeah, I, I,|aa sv % % %
A|and it,|%
B|Asking for information is, is, I can't really see that, I think they ought to, if, if nothing else, they ought to spend money for a postage stamp and, you know, when it arrives at your house, oh, I,|% sd sv %
