B|Okay.|fo_o_fw_"_by_bc
A|Okay, I thought it was supposed to give a recording, but anyway, uh, well, I do take care of pretty much all of the stuff for, for my wife and for me and uh, I, embarrassed to say, it's pretty trivial.|b^m sv sd sv
B|Uh-huh.|b
A|All we, all I do is, uh, keep a list of things like debts that are outstanding and every two or three months update that and every once in a while make a list of what we spent that month, but I doubt I do it more than three times a year.|sd sd
B|Uh-huh, do you use a computer?|b qy
A|And, No, I work with them all day, I'm in computer science, yet I I do everything on paper|% nn sd sd sd
B|Oh. Uh-huh.|b b
A|Uh, I don't even use a calculator for the stuff I'm doing because it's all pretty round numbers.|sd
B|Yeah, mine is really simple, because I got all our bills paid off when, uh, he was a Marine, he went to Saudi Arabia and while he was gone I got all of our bills paid off, so really the only bills I have is rent, utilities, insurance you know,|b sd sd sd sd
A|Uh-huh.|b
B|so they come in, I pay them, and that's it you know, that's about the extent of it, you know.|sd sd sd sd
A|Yeah that,|b %
B|I don't really have this major budget or anything. I just really, I'm real thrifty. I take care of, you know, two children and me and uh, just real careful with the money, you know. What little we have|sd sd sd
A|Uh-huh.|b
B|so, that's what I do.|sd
A|Yes, it's pretty straightforward. It's I can't imagine having to go into real complicated stuff and making you know, fancy budgets.|b sd % sd
B|No.|b
A|It seems like if you're getting to that level, you're not in real good control.|sv
B|Uh-uh. You know, I mean, I, I, I've never liked credit cards and a lot of debt, you know,|b sd
A|Uh-huh|b
B|you buy something on credit|sd
A|Uh-huh.|b
B|and you pay twice as much for it when you get done. You know|sv
A|Yeah.|b
B|so,|%
A|Actually, I mean, I like using credit cards for everything, but just paying off the bills because that way it's a record of everything|sd
B|Uh-huh.|b
A|and I don't have to worry about keeping records of anything else because they come in at the end of the month.|sd
B|I don't have too many, I don't have too many weaknesses, but I found out a credit card was one of them. You know,|sd sd
A|Uh.|%
B|it's so much easy, easier, you know, if something's on sale if you're a woman and you're a sale person, it's like, oh, it's on sale, let's go grab it, you know so, uh, and if you don't have the money, then use a credit card, so, I got rid of them credit cards. You know.|sv sd ^q ad sd
A|Yeah, I guess if that's if that's a weakness, that's a good thing to do.|sv
B|Yeah, that was my weakness It wasn't bad, I mean, I didn't have like thousands of dollars, you know, and like that, just, I just learned that that wasn't for me, you know.|aa sd sv sd sd
A|Uh-huh. Sure.|b b
B|So, but I, self-employed, you know, I have my own little cleaning business type thing, so, uh, I keep,|sd sd %
A|Do you find trouble keeping the records for taxes and all that or,|qy %
B|No, it's not hard, I just keep it in a notebook and write down what I've made and, uh, you know, what it's going to have to go for that month and you know, it's not that, not that hard. Not at all.|nn sv sd sv
A|Uh-huh. Well, that's good to know.|b ba
B|So, I always do my own income tax, you know.|sd
A|Yeah.|b
B|Do you?|qy
A|I don't understand the idea of paying somebody to, to do it.|sv
B|Huh?|br
A|It seems like it's absurd the number of people who end up having to pay somebody to do it.|sv
B|all you got to do is read a book, I mean read the little book they send you fill in the blanks and go.|sv
A|I, Yeah, just the form. Yeah.|% b bf b
B|I mean, it seems absurd that people will pay, you know, some bucks just to get someone to,|sv
A|Yeah, and a lot of them.|aa sv
B|it's dumb I guess if you had some really complicated stuff, but I don't, so, I don't mess with it.|sv sv sd sd
A|Yeah.|b
B|But, I don't use a calculator either, you know|sd
A|I, I don't trust myself with using a calculator or computer, too much stuff like that because I want to make sure that, that I, I keep on top of the numbers and understand what's going on.|sd
B|I don't, I don't have that that many, you know, things to add up so,|sd %
A|I know too many people who use a calculator if they make a mistake, they find out two months later because they weren't paying attention.|sd sd
B|Oh, yeah.|b
A|And,  And it seem,|%
B|And we have a, I bank at N C N B here and they have a number that you can call in, and I always call in and, like, once every other week or so and I will, uh, check off what checks have cleared and,|sd sd sd sd sd %
A|Yeah.|b
B|Do you do that?|qy
A|We have the same thing.|sd
B|You do too?|qy^d
A|Yeah.|ny
B|And I always check them off and, you know, check my balance and my book and, you know, because I always want to know exactly what I have, you know.|sd
A|Sure.|b
B|I do that real often. I do that, so anyway,|sd sd %
